Diff	Filename	Token Count	Text Length	Word Count	Punctuation Count	Number Count	Whitespace Count	Lines	Sentence Count	Predicted Token Count	Mistral Token Count
44	102.abap	199	963	62	33	27	169	15	21	155	308
-13	103.abap	491	1787	161	92	28	292	54	13	504	634
80	104.abap	190	895	59	120	25	173	17	98	110	266
37	105.abap	624	2195	179	108	38	307	60	16	587	756
48	106.abap	905	3717	301	91	41	1220	92	18	857	1210
-96	107.abap	12226	42295	3976	1882	1184	9926	1219	503	12322	16664
16	108.abap	78	386	20	12	8	31	9	3	62	106
-17	109.abap	1963	7109	646	337	122	1454	209	90	1980	2638
-145	110.abap	4004	14334	1512	649	294	3855	428	192	4149	5272
20	111.abap	46	285	19	6	1	22	5	1	26	60
-54	112.abap	796	2790	260	116	85	569	95	36	850	1075
5	113.abap	158	963	62	33	27	289	15	21	153	243
-82	114.abap	789	3354	272	130	64	1210	94	31	871	1064
37	115.abap	643	2568	204	76	55	692	61	18	606	878
1278	116.abap	7087	25414	2310	908	424	4146	480	220	5809	9725
314	117.abap	15199	53791	5111	1661	957	16422	1700	710	14885	20738
54	118.abap	889	3350	313	135	30	775	92	43	835	1136
295	119.abap	2381	7715	637	287	140	1331	237	109	2086	3082
38	120.abap	79	331	28	16	12	111	5	9	41	113
38	121.abap	193	963	62	33	27	201	15	21	155	292
12	122.abap	74	384	20	12	8	33	9	3	62	100
26	123.abap	48	303	19	18	1	22	6	14	22	68
20	124.abap	46	285	19	6	1	22	5	1	26	60
170	125.abap	3102	10829	961	536	216	2413	290	142	2932	4136
262	126.abap	1513	4809	492	165	44	870	140	60	1251	2001
26	127.abap	247	1293	90	43	37	414	20	26	221	371
-8	128.abap	1932	6694	574	294	104	1344	236	116	1940	2525
-162	129.abap	3983	14238	1512	649	294	3772	428	192	4145	5247
-68	130.abap	815	2952	240	86	146	626	89	25	883	1130
29	131.abap	113	539	30	12	8	93	11	3	84	153
-26	132.abap	893	2967	233	155	39	482	120	53	919	1219
9	133.abap	91	428	26	18	8	35	11	3	82	128
-50	134.abap	420	1606	136	83	38	370	54	20	470	555
6	135.abap	660	2235	200	110	47	355	74	29	654	869
-88	136.abap	1896	6465	598	311	190	1065	206	78	1984	2468
33	137.abap	254	1293	90	43	37	394	20	26	221	381
134	138.abap	566	1999	147	70	18	274	46	18	432	755
241	139.abap	3159	10701	1097	358	227	2725	293	99	2918	4165
-97	140.abap	729	2570	220	153	81	413	91	39	826	980
26	141.abap	48	303	19	18	1	22	6	14	22	68
14	142.abap	76	384	20	12	8	33	9	3	62	102
-155	143.abap	1601	5783	581	265	107	1275	200	82	1756	2150
78	144.abap	185	892	59	123	25	185	17	101	107	256
77	145.abap	1214	4156	368	151	131	995	115	49	1137	1625
-44	146.abap	2179	9699	1207	305	40	2015	213	137	2223	2841
-104	147.abap	1173	4905	659	155	12	1046	143	76	1277	1479
25	148.abap	86	541	56	20	0	59	8	16	61	112
21	149.abap	1360	5276	559	159	141	1186	124	61	1339	1788
-202	150.abap	1884	8537	1022	265	96	1489	210	135	2086	2480
-34	151.abap	2287	9923	1178	246	29	2520	250	134	2321	2982
15	152.abap	234	1249	139	27	12	201	17	8	219	284
-30	153.abap	1917	7972	1041	212	23	1871	202	96	1947	2357
5	154.abap	142	743	81	20	6	90	14	6	137	184
2	155.abap	117	664	67	16	9	81	12	6	115	158
102	156.abap	1894	7325	879	174	68	1773	185	81	1792	2485
224	157.abap	15380	59190	6363	1479	683	17674	1711	844	15156	20882
15	158.abap	1137	4521	615	134	77	924	107	77	1122	1492
-37	159.abap	885	3867	514	113	27	683	91	54	922	1075
60	160.abap	284	1482	151	133	29	269	23	104	224	366
6	161.abap	2846	11639	1364	452	108	2894	288	214	2840	3791
